code,date,open,high,low,close,volume,amount,name
600170,2023-05-23,2.62,2.65,2.6,2.6,64851000.0,0.0,上海建工
600170,2023-05-24,2.61,2.61,2.57,2.58,73179300.0,0.0,上海建工
600170,2023-05-25,2.57,2.59,2.56,2.59,47977400.0,0.0,上海建工
600170,2023-05-26,2.59,2.63,2.58,2.61,37945700.0,0.0,上海建工
600170,2023-05-29,2.61,2.63,2.59,2.59,56735800.0,0.0,上海建工
600170,2023-05-30,2.59,2.65,2.59,2.65,68481800.0,0.0,上海建工
600170,2023-05-31,2.63,2.65,2.62,2.64,44269900.0,0.0,上海建工
600170,2023-06-01,2.64,2.66,2.62,2.64,45928800.0,0.0,上海建工
600170,2023-06-02,2.64,2.66,2.64,2.65,41787500.0,0.0,上海建工
600170,2023-06-05,2.66,2.67,2.64,2.65,37160500.0,0.0,上海建工
600170,2023-06-06,2.65,2.66,2.62,2.63,45504000.0,0.0,上海建工
600170,2023-06-07,2.63,2.67,2.63,2.66,56069600.0,0.0,上海建工
600170,2023-06-08,2.66,2.73,2.66,2.72,77549400.0,0.0,上海建工
600170,2023-06-09,2.72,2.78,2.71,2.77,104928200.0,0.0,上海建工
600170,2023-06-12,2.78,2.78,2.74,2.75,68004200.0,0.0,上海建工
600170,2023-06-13,2.74,2.76,2.7,2.72,50399000.0,0.0,上海建工
600170,2023-06-14,2.72,2.74,2.69,2.7,38870600.0,0.0,上海建工
600170,2023-06-15,2.7,2.71,2.67,2.71,42925000.0,0.0,上海建工
600170,2023-06-16,2.72,2.73,2.69,2.7,47836600.0,0.0,上海建工
600170,2023-06-19,2.7,2.7,2.64,2.66,48798400.0,0.0,上海建工
600170,2023-06-20,2.67,2.68,2.63,2.64,46296000.0,0.0,上海建工
600170,2023-06-21,2.63,2.66,2.61,2.61,48160100.0,0.0,上海建工
600170,2023-06-26,2.61,2.61,2.58,2.58,46639500.0,0.0,上海建工
600170,2023-06-27,2.59,2.65,2.58,2.65,54583700.0,0.0,上海建工
600170,2023-06-28,2.64,2.7,2.63,2.69,53752300.0,0.0,上海建工
600170,2023-06-29,2.68,2.7,2.67,2.68,36188200.0,0.0,上海建工
600170,2023-06-30,2.68,2.72,2.67,2.69,35597200.0,0.0,上海建工
600170,2023-07-03,2.69,2.72,2.69,2.71,45359500.0,0.0,上海建工
600170,2023-07-04,2.7,2.72,2.69,2.71,35074600.0,0.0,上海建工
600170,2023-07-05,2.7,2.73,2.7,2.71,25309700.0,0.0,上海建工
600170,2023-07-06,2.7,2.71,2.69,2.69,21160200.0,0.0,上海建工
600170,2023-07-07,2.69,2.71,2.69,2.7,26661600.0,0.0,上海建工
600170,2023-07-10,2.7,2.73,2.69,2.72,36139600.0,0.0,上海建工
600170,2023-07-11,2.71,2.74,2.7,2.74,41600200.0,0.0,上海建工
600170,2023-07-12,2.74,2.74,2.69,2.69,37441900.0,0.0,上海建工
600170,2023-07-13,2.7,2.73,2.69,2.72,26519400.0,0.0,上海建工
600170,2023-07-14,2.73,2.73,2.7,2.73,34561200.0,0.0,上海建工
600170,2023-07-17,2.72,2.73,2.7,2.72,24231600.0,0.0,上海建工
600170,2023-07-18,2.72,2.73,2.7,2.72,29715300.0,0.0,上海建工
600170,2023-07-19,2.73,2.76,2.71,2.75,48965100.0,0.0,上海建工
600170,2023-07-20,2.76,2.77,2.73,2.74,33718500.0,0.0,上海建工
600170,2023-07-21,2.73,2.76,2.73,2.75,29145400.0,0.0,上海建工
600170,2023-07-24,2.77,2.8,2.76,2.79,54646900.0,0.0,上海建工
600170,2023-07-25,2.81,2.85,2.8,2.85,85595700.0,0.0,上海建工
600170,2023-07-26,2.85,2.89,2.84,2.88,85953300.0,0.0,上海建工
600170,2023-07-27,2.88,2.91,2.86,2.89,75943800.0,0.0,上海建工
600170,2023-07-28,2.88,2.93,2.87,2.92,70484100.0,0.0,上海建工
600170,2023-07-31,2.93,2.98,2.92,2.97,95379800.0,0.0,上海建工
600170,2023-08-01,2.98,3.03,2.95,2.99,125585000.0,0.0,上海建工
600170,2023-08-02,2.98,3.0,2.94,2.96,94721400.0,0.0,上海建工
600170,2023-08-03,2.95,2.97,2.9,2.95,69263200.0,0.0,上海建工
600170,2023-08-04,2.97,3.0,2.94,2.96,101036700.0,0.0,上海建工
600170,2023-08-07,2.97,2.97,2.91,2.93,54236000.0,0.0,上海建工
600170,2023-08-08,2.93,2.94,2.91,2.91,36513200.0,0.0,上海建工
600170,2023-08-09,2.91,2.93,2.9,2.9,33625600.0,0.0,上海建工
600170,2023-08-10,2.86,2.9,2.85,2.88,35363500.0,0.0,上海建工
600170,2023-08-11,2.87,2.9,2.82,2.82,47383500.0,0.0,上海建工
600170,2023-08-14,2.82,2.86,2.78,2.84,42739000.0,0.0,上海建工
600170,2023-08-15,2.85,2.87,2.82,2.86,42908500.0,0.0,上海建工
600170,2023-08-16,2.84,2.87,2.81,2.84,33705000.0,0.0,上海建工
600170,2023-08-17,2.83,2.84,2.8,2.84,39463100.0,0.0,上海建工
600170,2023-08-18,2.83,2.87,2.81,2.82,41837300.0,0.0,上海建工
600170,2023-08-21,2.82,2.87,2.82,2.82,42808400.0,0.0,上海建工
600170,2023-08-22,2.83,2.84,2.8,2.83,42791300.0,0.0,上海建工
600170,2023-08-23,2.84,2.84,2.79,2.79,38739200.0,0.0,上海建工
600170,2023-08-24,2.81,2.82,2.74,2.76,49193800.0,0.0,上海建工
600170,2023-08-25,2.76,2.85,2.74,2.8,65882900.0,0.0,上海建工
600170,2023-08-28,2.93,2.96,2.82,2.83,74192200.0,0.0,上海建工
600170,2023-08-29,2.84,2.89,2.82,2.85,77101700.0,0.0,上海建工
600170,2023-08-30,2.84,2.85,2.78,2.78,57098500.0,0.0,上海建工
600170,2023-08-31,2.8,2.84,2.78,2.8,53774200.0,0.0,上海建工
600170,2023-09-01,2.79,2.8,2.77,2.78,44739000.0,0.0,上海建工
600170,2023-09-04,2.79,2.84,2.78,2.83,64225600.0,0.0,上海建工
600170,2023-09-05,2.82,2.83,2.78,2.8,42440500.0,0.0,上海建工
600170,2023-09-06,2.8,2.8,2.77,2.78,36109900.0,0.0,上海建工
600170,2023-09-07,2.78,2.79,2.75,2.75,40889600.0,0.0,上海建工
600170,2023-09-08,2.75,2.76,2.71,2.71,54147800.0,0.0,上海建工
600170,2023-09-11,2.71,2.78,2.71,2.78,68937500.0,0.0,上海建工
